#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
100.7929408,-7.2410736,22.1318684,6.1921556,0.1537871,6.4993147,-1.0108376,-0.0754888537786439,0.6
100.9929268,-7.0416701,22.116787,6.2234014,0.1587251,6.4681361,-1.0011625,-0.043741887616437436,0.6
101.1929128,-6.8418657,22.1080416,6.2556569,0.1638546,6.4371071,-0.9915799,-0.010972229278360222,0.6
101.3928988,-6.6419417,22.1058479,0.0057607,0.1691513,6.4062269,-0.9820891,0.02285947276427998,0.6
101.5928848,-6.4419763,22.1104198,0.040142,0.1746611,6.3754949,-0.9726891,0.05779589168583226,0.6
101.7928708,-6.2423473,22.1219704,0.0756418,0.1804211,6.3449103,-0.9633791,0.09388028654599231,0.6
101.9928568,-6.0432555,22.1407163,0.1123184,0.1864454,6.3144724,-0.9541582,0.13117353303487359,0.6
102.1928427,-5.8449823,22.1668747,0.1502423,0.192838,6.2841806,-0.9450256,0.16974025772227844,0.6
102.3928287,-5.6479264,22.200648,0.1894601,0.199489,6.254034,-0.9359804,0.2096385140918856,0.6
102.5928147,-5.4522895,22.2422726,0.2300466,0.2063903,6.2240321,-0.9270217,0.25092332588572397,0.6
102.7928007,-5.2585949,22.2919215,0.2720429,0.2136905,6.1941741,-0.9181488,0.29366042191583797,0.6
102.9927867,-5.0671861,22.3498042,0.3155285,0.22121,6.1644594,-0.9093608,0.3379088788275663,0.6
103.1927727,-4.8785123,22.4161015,0.3605531,0.2291176,6.1348872,-0.900657,0.3837329732441014,0.6
103.3927587,-4.693124,22.4909516,0.4071905,0.2374301,6.1054568,-0.8920364,0.4312135363008602,0.6
103.5927447,-4.5114311,22.5745468,0.4555193,0.24593,6.0761677,-0.8834984,0.4804087337761826,0.6
103.7927307,-4.3341137,22.6669523,0.5056028,0.2550665,6.047019,-0.8750421,0.5314136463954359,0.6
103.9927167,-4.1617364,22.7682787,0.5575131,0.2637757,6.0180102,-0.8666667,0.5841712386818688,0.6
104.1927027,-3.9949345,22.8785592,0.6111184,0.2724346,5.9891405,-0.8583715,0.6386626382184668,0.6
104.3926887,-3.8343973,22.9977528,0.6665115,0.2810599,5.9604093,-0.8501556,0.6945856406925602,0.6
104.5926747,-3.6808136,23.1256995,0.722645,0.2806099,5.931816,-0.8420184,0.7507100957248116,0.6
104.7926607,-3.5345831,23.2621214,0.7787832,0.2808521,5.9033598,-0.8339591,0.8068114153058342,0.6
104.9926467,-3.3962775,23.4064807,0.8346333,0.2751239,5.8750402,-0.825977,0.8618083794741751,0.6
105.1926326,-3.2661026,23.5582403,0.8886586,0.2653726,5.8468564,-0.8180712,0.9149059554077273,0.6
105.3926186,-3.1440936,23.7167881,0.9408594,0.2564455,5.8188078,-0.8102411,0.9661623778803846,0.6
105.5926046,-3.0304619,23.8812426,0.9911391,0.246659,5.7908937,-0.802486,1.0154979119461065,0.6
105.7925906,-2.9250177,24.051199,1.0395516,0.237521,5.7631136,-0.794805,1.063014353611188,0.6
105.9925766,-2.8277868,24.2259332,1.0861908,0.2289287,5.7354667,-0.7871976,1.1088015053426798,0.6
106.1925626,-2.7386578,24.4049302,1.1311376,0.2206731,5.7079525,-0.7796631,1.1529472336053703,0.6
106.3925486,-2.657491,24.5877403,1.1744984,0.2129361,5.6805702,-0.7722006,1.1955334150146142,0.6
106.5925346,-2.5842117,24.7737613,1.216319,0.2054295,5.6533193,-0.7648095,1.2366219259978533,0.6
106.7925206,-2.5186149,24.9626945,1.2566859,0.1982891,5.6261992,-0.7574892,1.2762844306983,0.6
106.9925066,-2.4605688,25.1540554,1.2956552,0.1914436,5.5992091,-0.750239,1.314574096643727,0.6
107.1924926,-2.4098908,25.3474973,1.3332706,0.1847911,5.5723485,-0.7430581,1.3515364085773782,0.6
107.3924786,-2.3663893,25.5427092,1.3695913,0.178443,5.5456168,-0.735946,1.3872251796160837,0.6
